id,category_id
11380470,34111
11418216,16623
11460452,34111
11527537,34111
11690477,34111
11870241,34111
11926292,16623
12003117,34111
12066382,34111
12226406,34111
12233479,34111
12317723,34111
12385411,34111
12393105,34111
12415743,16623
12544381,34111
12551592,34111
12558389,16623
12655493,34111
12747235,34111
12773753,16623
12822897,34111
12900822,34111
12995623,34111
12995750,34111
13132663,34111
13148258,34111
13183168,34111
13264048,34111
13319656,34111
13339094,34111
13434071,34111
13487646,34111
13570317,34111
13576671,34111
13656450,34111
13778362,34111
13804920,34111
13815069,34111
13866216,34111
13885992,34111
13939657,34111
13943088,34111
13959188,34111
13982944,16623
14013338,34111
14093492,34111
14140113,16623
14144456,34111
14275478,34111
14302941,34111
14318791,34111
14324332,34111
14359165,34111
14419092,34111
14472849,16623
14495852,34111
14512106,34111
14584644,34111
14585714,16623
14691084,34111
14703355,16623
14716255,34111
14743478,34111
14758104,34111
14794232,34111
14974292,34111
15075738,34111
15202301,16623
15297296,16623
15383408,16623
15449081,34111
15576489,16623
15598382,34111
15633556,16623
15667617,34111
15677556,34111
15683245,34111
15709367,34111
15863232,34111
15880139,34111
15893117,16623
15900567,34111
15938113,34111
15978094,34111
16320971,34111
16401571,34111
16466694,34111
16496189,34111
16638952,34111
16643918,34111
16726610,34111
16787313,34111
16797034,34111
16831130,34111
16848251,34111
16868129,34111
16915523,16623
16956225,34111
16978804,34111
17061720,34111
17115038,34111
17198207,34111
17198637,34111
17258260,34111
17528775,34111
17559112,34111
17638997,34111
17692825,34111
17694832,34111
17696809,34111
17717891,34111
17838357,16623
17966693,34111
18025144,34111
18135907,34111
18162962,34111
18344502,34111
18344767,34111
18412834,34111
18489266,34111
18490274,16623
18503647,16623
18512164,34111
18552488,34111
18592392,34111
18600039,34111
18631589,34111
18644046,34111
18674993,34111
18730534,34111
18744669,34111
18794523,34111
18854584,34111
18900860,34111
18971543,34111
19117196,34111
19120557,34111
19141784,34111
19240689,16623
19387321,34111
19501344,34111
19510393,34111
19532857,34111
19542368,34111
19557353,34111
19622003,34111
19680929,34111
19686349,34111
19708707,34111
19722360,16623
19734177,34111
19800362,34111
19830812,16623
19873069,34111
19914325,34111
19922753,16623
20130270,34111
20139323,34111
20219058,34111
20226205,34111
20257973,34111
20280997,34111
20311237,34111
20330222,34111
20362606,34111
20404394,16623
20447372,34111
20457005,16623
20466731,34111
20489253,34111
20566705,34111
20590091,34111
20615557,34111
20666389,34111
20711493,34111
20802047,16623
20861633,34111
20931157,34111
20976645,34111
21004235,16623
21049465,34111
21142544,34111
21150314,34111
21210194,34111
21236624,34111
21330933,16623
21341080,34111
21362290,34111
21473047,34111
21502187,34111
21517059,34111
21677817,34111
21707598,34111
21716006,34111
21777515,34111
21910223,34111
21921051,34111
21941658,34111
22048434,34111
22093686,34111
22143296,34111
22159226,34111
22230711,34111
22267521,34111
22329114,34111
22390343,34111
22452663,34111
22475109,34111
22544774,34111
22553111,34111
22582032,34111
22793906,34111
22797429,34111
