brand,series,pencil_color,code,order,english,japanese,pencil_name
12352984,50327955,,18,105,olive grey,,"{""ja"":"""", ""en"": ""olive grey""}"
12352984,50327955,,249,106,olive,,"{""ja"":"""", ""en"": ""olive""}"
12352984,50327955,,39,107,olive brown,,"{""ja"":"""", ""en"": ""olive brown""}"
12352984,50327955,,19,108,olive black,,"{""ja"":"""", ""en"": ""olive black""}"
12352984,50327955,,49,109,raw umber,,"{""ja"":"""", ""en"": ""raw umber""}"
12352984,50327955,,45,110,Vandycke brown,,"{""ja"":"""", ""en"": ""Vandycke brown""}"
12352984,50327955,,404,111,brownish beige,,"{""ja"":"""", ""en"": ""brownish beige""}"
12352984,50327955,,403,112,beige,,"{""ja"":"""", ""en"": ""beige""}"
12352984,50327955,,401,113,ash grey,,"{""ja"":"""", ""en"": ""ash grey""}"
12352984,50327955,,402,114,light beige,,"{""ja"":"""", ""en"": ""light beige""}"
12352984,50327955,,25,115,green ochre,,"{""ja"":"""", ""en"": ""green ochre""}"
12352984,50327955,,499,116,gold,,"{""ja"":"""", ""en"": ""gold""}"
12352984,50327955,,497,117,bronze,,"{""ja"":"""", ""en"": ""bronze""}"
12352984,50327955,,498,118,silver,,"{""ja"":"""", ""en"": ""silver""}"
12352984,50327955,,1,119,white,,"{""ja"":"""", ""en"": ""white""}"
12352984,50327955,,9,120,black,,"{""ja"":"""", ""en"": ""black""}"
